ticker,company_name,gw_high_count,gw_score_pct,gw_exclude,gw_watchlist,analyst_note
AGN.AS,Aegon Ltd.,0,12.5,False,False,"Main claim: ""the carbon footprint by 30% by 2030 and achieving net-zero"" (aegon-Integrated-annual-report-2025.pdf, p33.0). SBTi: Commitment removed. 8-Test: 2 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""the carbon footprint by 30% by 2030 and achieving net-zero"" (aegon-Integrated-annual-report-2025.pdf, p33). SBTi: Commitment removed. 8-Test: 2 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Asset-owner climate disclosure (NZAOA..."
ALFA.ST,Alfa Laval AB,0,0.0,False,False,"Main claim: ""The ambition is to achieve net zero scope 1 and 2 GHG emissions by 2027"" (annual-and-sustainability-report-2025.pdf, p18). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Strong climate disclosure — near-dated net-zero (Scope 1+2 by 2027), explicit 2020 baseline, SBTi-approved targets, full scope coverage. One MED: emissions-data assurance level not crisply evidenced in the extract."
SBMO.AS,SBM Offshore NV,0,25.0,False,False,"Main claim: ""Including the use of certified climate projects to compensate any residual scope 1 and 2 emissions"" (SBM-Offshore-Annual-Report-2025.pdf, p12). SBTi: no validated target in the SBTi database. 8-Test: 4 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Offshore-energy contractor. Disclosure is structured (2016 base year, intermediary 2030 targets, ISAE limited assurance) but four MED flags reflect an offset-reliant near-term 'climate neutral' claim, SBTi-guideline-based (not..."
ZURN.SW,Zurich Insurance Group Ltd,0,12.5,False,False,"Main claim: ""our climate transition plan towards our ambition to become a net-zero business by [2050]"" (sustainability-report-2025.pdf, p6). SBTi: Commitment removed. 8-Test: 2 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Insurer climate disclosure — net-zero-business ambition with a launched transition plan, quantified targets on explicit 2019/2022 baselines, PCAF-based insurance-associated emissions, independent assurance report. One MED (assurance level)."
SUBC.OL,Subsea 7 S.A.,0,37.5,False,False,"Main claim: ""Net-Zero Scope 1 and 2 GHG emissions by 2050 ... through its decarbonisation plan"" (annual-report.pdf, p90). SBTi: no validated target in the SBTi database. 8-Test: 5 PARTIAL, 0 FAIL, 1 MISSING -> PASS. Offshore-energy contractor; assessed from the annual report (no standalone sustainability report). Four MED + one MISSING reflect a 2050-only net-zero horizon, targets that SBTi explicitly does not validate for the sector (candidly..."
LI.PA,Klepierre SA,0,0.0,False,False,"Main claim: ""the Group's 2030 net-zero commitment (scopes 1 and 2)"" (document-d-enregistrement-universel-2025-69cbd8e41b4ad.pdf, p55.0). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""the Group's 2030 net-zero commitment (scopes 1 and 2)"" (document-d-enregistrement-universel-2025-69cbd8e41b4ad.pdf, p55). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS...."
TEL2-B.ST,Tele2 AB Class B,0,0.0,False,False,"Main claim: ""aiming for net zero greenhouse gas [emissions] ... targeting net-zero by 2035"" (tele2-annual-and-sustainability-report-2025.pdf, p68). SBTi: Targets set, 1.5°C near-term target (2029). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Telecom annual & sustainability report. Strong climate disclosure — science-based targets 1.5C-aligned, near-dated net-zero (2035) with 2027/2029 milestones, 2019 baseline, KPMG limited assurance. One MED (limited assurance level)."
SPSN.SW,Swiss Prime Site AG,0,31.2,False,False,"Main claim: ""net-zero operations in our property portfolio by 2040"" (SPS_ESG-Booklet_EN.pdf, p3). SBTi: no validated target in the SBTi database. 8-Test: 3 PARTIAL, 0 FAIL, 2 MISSING -> PASS. SOURCE LIMITATION: assessed from Swiss Prime's 16-page ESG summary booklet; the company's full disclosures are split across separate E/S/G reports. 'baseline' and 'consistency' are marked MISSING because they are absent from this..."
MRL.MC,"MERLIN Properties SOCIMI, S.A.",0,0.0,False,False,"Main claim: ""MERLIN launched its 'Pathway to Net Zero' strategy, a roadmap"" (EINF-Version-Ingles-2025.pdf, p5.0). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""MERLIN launched its 'Pathway to Net Zero' strategy, a roadmap"" (EINF-Version-Ingles-2025.pdf, p5). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. EINF non-financial..."
ABBN.SW,ABB Ltd.,0,0.0,False,False,"Main claim: ""reaching net zero by 2050 ... aligned with the Corporate Net-Zero Standard of the Science Based [Targets initiative]"" (ABB Sustainability Statement 2025.pdf, p53). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. CSRD/ESRS Sustainability Statement. Strong throughout — SBTi-validated Net-Zero-Standard targets, explicit 2019/2022 baselines, KPMG limited assurance, disclosed climate capex. One MED (limited assurance level)."
